,ionization,exchange,resonance
0.5789473684210527,,,56.386446280991734
0.8421052631578947,,28.622499999999995,
0.868421052631579,,,27.103067033976117
1.3157894736842106,,13.249599999999997,
2.7368421052631575,4.249940828402368,,
2.8421052631578942,4.029684499314129,,
4.210526315789473,2.4025000000000007,,
5.473684210526315,1.7709467455621306,,
6.31578947368421,1.5211111111111113,,
0.631578947368421,,48.071111111111115,48.071111111111115
1.1578947368421053,,16.439338842975207,
1.7894736842105263,8.038892733564015,,
7.999999999999999,1.2100000000000002,,
8.421052631578947,1.155625,,
12.210526315789473,0.8604161712247324,,
0.8157894736842105,,30.285494276795003,
1.736842105263158,,8.427584940312212,
2.2105263157894735,5.805804988662133,5.805804988662133,
3.3684210526315783,3.19515625,,
0.5263157894736842,,67.24000000000002,
0.9210526315789473,,24.43183673469387,
2.631578947368421,4.494400000000001,,
3.473684210526315,3.0678053259871456,,
4.421052631578947,2.2643083900226757,,
6.526315789473683,1.471134235171696,,
0.6052631578947368,,,51.96529300567107
0.7894736842105263,,,32.11111111111111
0.8947368421052632,,25.710865051903113,
1.0,,21.159999999999997,
1.9473684210526314,7.044002921840762,,
3.578947368421052,2.9503114186851214,,
3.999999999999999,2.5600000000000005,,
7.578947368421051,1.2718827160493826,,
11.789473684210526,0.8822576530612245,,
